Date,Close,High,Low,Open,Volume
15-06-2015,370.8069763,380.3626183,360.6180357,363.952267,27016822
22-06-2015,380.173584,389.0610043,373.5174827,380.0412274,32174428
29-06-2015,374.5195923,380.0789608,370.6242603,373.2715764,25486924
06-07-2015,354.5512695,374.4061406,352.7170669,372.5152005,30826492
13-07-2015,378.8876953,379.8899029,353.2465497,355.8749613,22949324
20-07-2015,411.3172607,434.5380132,373.4228415,378.7174735,67544002
27-07-2015,407.3274536,412.9813464,398.7047477,411.0525966,42187790
03-08-2015,414.342804,418.0868748,397.4756267,407.6867037,34039852
10-08-2015,434.6326294,441.9883687,399.1964265,415.2504913,36632626
17-08-2015,434.8785095,448.60671,422.6252057,434.9163191,33318656
24-08-2015,420.1858826,425.4237782,395.0174475,419.7698388,61908186
31-08-2015,406.1550598,429.1867225,403.5266712,429.1867225,46069868
07-09-2015,412.5085449,418.4271961,397.9672354,410.3150361,38035962
14-09-2015,417.6897888,422.776446,409.4453167,415.6286823,30904078
21-09-2015,431.3424377,435.937386,413.1704818,416.0068925,32135736
28-09-2015,443.6335449,452.974772,415.0614171,431.1154826,38847920
05-10-2015,441.4967651,451.0082044,425.8586976,443.6146091,45639140
12-10-2015,414.078064,461.3137559,410.4096125,453.4474268,69272000
19-10-2015,438.8779297,440.0610855,420.0236119,420.5961112,29447264
26-10-2015,433.3628235,442.1602471,431.2827615,440.4427494,23647162
02-11-2015,434.4506226,441.8167517,425.2142732,431.2827747,15736720
09-11-2015,420.1380615,435.099354,416.016049,427.466032,14326596
16-11-2015,401.6654053,417.5427054,385.9598362,413.5924707,38740292
23-11-2015,406.9896851,408.3827758,395.787793,400.7494529,24938598
30-11-2015,400.3869019,419.1839601,396.9709618,408.3827892,44281956
07-12-2015,401.8180237,405.6155821,390.2726027,402.7721888,28034440
14-12-2015,413.4017334,423.5731464,400.0052598,400.5586571,27922934
21-12-2015,418.4395752,422.6570038,406.8369177,411.0543463,12541248
28-12-2015,421.8364258,423.6493396,413.3443557,416.0160182,23776472
04-01-2016,405.825592,420.7677829,399.9479246,419.8136177,22964280
11-01-2016,435.0611572,444.2593001,393.4404542,403.1538835,63940748
18-01-2016,433.6681213,443.5341811,426.3210487,435.061212,38254064
25-01-2016,444.6029663,446.5494546,429.2027444,435.1948851,29571930
01-02-2016,448.3431091,456.071847,439.9655576,446.5492973,26663364
08-02-2016,413.9741516,447.3889913,407.2377355,444.1639313,30289144
15-02-2016,430.2330627,432.8856232,409.7948268,418.401415,22546614
22-02-2016,427.9049683,436.530613,420.2525441,431.6643701,20029848
29-02-2016,446.7974548,455.2704241,407.7339366,431.0918846,31863112
07-03-2016,436.2443542,454.3734941,434.4123383,446.7974313,42363092
14-03-2016,455.4803162,457.6176369,430.881909,437.3893344,31435414
21-03-2016,460.9762878,462.0830821,447.3126242,453.4192812,18569518
28-03-2016,460.0794373,472.1210228,454.7743151,470.3653678,47047432
04-04-2016,444.9272461,476.3192821,443.5151002,463.1709039,24152592
11-04-2016,447.5797729,456.0718428,439.3357953,444.9463144,24122202
18-04-2016,462.2930298,483.9144221,460.670949,477.0825901,43673876
25-04-2016,461.0908508,474.162916,458.4191879,462.59846,32898664
02-05-2016,450.9385376,462.6556693,446.7974694,461.8160224,25152290
09-05-2016,460.766571,464.354243,450.5951564,451.1294984,21288266
16-05-2016,458.6099854,467.8272312,457.1978394,461.8923046,20535716
23-05-2016,476.1285095,480.7085032,449.450037,459.2970421,24245602
30-05-2016,483.5328979,488.265568,472.8844021,473.8385676,32960204
06-06-2016,450.5949402,487.3875576,446.5874466,482.7694076,37784318
13-06-2016,455.4168396,460.5327982,450.2043535,454.3743612,28756668
20-06-2016,461.2279053,469.0659132,447.8877805,455.9960938,25659522
27-06-2016,452.675415,457.347337,445.9956926,452.540286,32037038
04-07-2016,447.1926575,461.2470732,445.377959,454.1426386,20484262
11-07-2016,414.1223145,461.8069012,406.1877348,450.7448399,87039124
18-07-2016,414.0837708,420.8600221,407.4040941,415.9371181,52614904
